Temp Irradiance TheoV PredV TheoP PreP
302.486 575.0 0.498 0.48517511653310563 2.15998553501 2.1467521492653354
304.361 564.0 0.501 0.4820892236598778 2.12965584269 2.10473921558437
304.392 579.0 0.502 0.48396848727113084 2.18948602785 2.1667286490483453
304.383 541.0 0.5 0.481223901178196 2.03852947994 2.0149288407240635
303.989 443.0 0.494 0.47350841010082206 1.64972661085 1.6263110370436753
303.666 502.0 0.497 0.4794649336198443 1.87975510836 1.860425001456596
303.417 531.0 0.498 0.48261760458733194 1.99255635858 1.9764936448971522
303.217 518.0 0.497 0.4819156624234576 1.93998203069 1.9247490142459727
302.776 488.0 0.495 0.47981924207203164 1.81927112481 1.8050848216021411
302.654 346.0 0.486 0.4673408090660337 1.26614943798 1.2509561094511117
302.646 427.0 0.491 0.47481927932227097 1.58005225079 1.5652604664572531
302.5 380.0 0.488 0.47084940237596634 1.39681039186 1.3823657607907105
302.48 206.0 0.473 0.4553070039735083 0.732578156158 0.724389113290352
304.544 216.0 0.477 0.45517573208708684 0.775387719777 0.7625748954333762
304.934 214.0 0.478 0.45518921413197755 0.768799669981 0.7557495383678229
304.966 180.0 0.473 0.45256353830865426 0.640604701935 0.6309734399426395
304.924 145.0 0.468 0.4498236261481641 0.509823139678 0.5037414498961506
304.918 117.0 0.463 0.44764859815774355 0.406441113182 0.40296156501276503
305.945 115.0 0.464 0.44747551620130604 0.400450254987 0.3964826916216499
305.869 130.0 0.467 0.4492559200679108 0.455704647129 0.45063415304811316
305.809 125.0 0.466 0.4492364450384782 0.437126539359 0.4327640645141986
306.156 106.0 0.462 0.4478690918472802 0.367665760395 0.36481969972281136
306.097 96.0 0.46 0.44731838134889085 0.331041340759 0.3290947457772148
307.789 86.0 0.459 0.4466805014861052 0.296328176354 0.2944760413573696
306.736 80.0 0.456 0.44653906919281133 0.273572340362 0.2725753872154278
308.695 77.0 0.458 0.44663569533602154 0.264411506657 0.26307418182826925
309.097 69.0 0.456 0.4464136579921246 0.235745889784 0.23490542016141955
309.35 64.0 0.454 0.44640145449297136 0.217886050663 0.2173275113986481
309.384 54.0 0.45 0.4458252144474014 0.182040663256 0.1818993549768948
309.189 47.0 0.446 0.445323081397105 0.157048541761 0.15704277370329472
308.967 40.0 0.442 0.444670751489286 0.132284999292 0.13223394623672138
309.28 31.0 0.436 0.4438275606778965 0.101059224237 0.10071947397990424
